municipio;homologacao;nome_bem_imaterial_registrado;local_ocorrencia_bem_imaterial_registrado;esfera_de_protecao;categoria;exercicio_aceito_para_efeito_de_pontuacao
Alvorada de Minas;Decreto 027/ 2009;Festa de Nossa Senhorado Rosário;Distrito de Itaponhacanga;MUNICIPAL;RI*CEL;2013,0
Dom Joaquim;Decreto nº 064/2011;Festa de São Domingos;Sede municpal de Dom Joaquim;MUNICIPAL;RI*CEL;2013,0
Monte Santo de Minas;Decreto nº 1.604/2016;Carnaval;Não informado;MUNICIPAL;RI*CEL;2018,0
Campestre;Decreto nº116/2018 - Inscrição nº 001/2018;Desfile de Carro de Boi;Não informado;MUNICIPAL;RI*FOR;2020,0
Brazópolis;Decreto nº37/ 2011;Coral Vozes de Euterpe;Rua Silvestre Ferraz 108 - Centro;MUNICIPAL;RI*FOR;2013,0
Brazópolis;Decreto nº 41/2010;Encenação da Sexta-feira Santa;Praça Sagrados Corações 55;MUNICIPAL;RI*CEL;2013,0
Campanha;Decreto nº 5280/2012;Coral Campanhense;Não informado;MUNICIPAL;RI*FOR;2013,0
Campanha;Decreto nº 6409/2016;Terno de Congada de Nossa Senhora do Rosário;Distrito Sede;MUNICIPAL;RI*FOR;2019,0
Caranaíba;Decreto nº 791/2017;Corporação musical Gloriense;Não informado;MUNICIPAL;RI*FOR;2018,0
São Geraldo;Incrição nº 001/2023;Festa Country de São Geraldo;Não informado;MUNICIPAL;RI*FOR;2025,0
Boa Esperança;Incrição nº 002/2023;Corporação Musical Lira Esperancense;Não informado;MUNICIPAL;RI*FOR;2025,0
São Geraldo;Incrição nº 002/2023;Sociedade Musical Filarmônica Scipião Rocha;Não informado;MUNICIPAL;RI*FOR;2025,0
Itabirito;Incrição nº 06/2016;Associação Cultural Coral 'Os Canarinhos de Itabirito';Não informado;MUNICIPAL;RI*FOR;2018,0
Caldas;Inscrição nº 03/2021;Modo de fazer doces tradicionais;Não informado;MUNICIPAL;RI*SAB;2023,0
Tombos;Inscrição nº 01/2018;Bloco Carnavalesco Bonecas do Niterói;Não informado;MUNICIPAL;RI*FOR;2020,0
Tocos do Moji;Inscrição nº 01/2020;Pastel de Farinha de Milho;Não informado;MUNICIPAL;RI*SAB;2022,0
